[2025-06-03 15:19:17,515] 22 root - INFO - Initiating the data ingestion process.
[2025-06-03 15:19:20,898] 87 root - INFO - Performed train-test split on the data.
[2025-06-03 15:19:20,898] 88 root - INFO - Exited split_data_as_train_test method from DataIngestion.
[2025-06-03 15:19:20,899] 94 root - INFO - Exporting train and test file paths.
[2025-06-03 15:19:20,968] 104 root - INFO - Exported train and test file paths.
[2025-06-03 15:19:20,978] 33 root - INFO - Initiating the data validation
[2025-06-03 15:19:21,053] 37 root - INFO - Required number of columns: 2 
[2025-06-03 15:19:21,053] 38 root - INFO - Available number of columns: 31
[2025-06-03 15:19:21,060] 37 root - INFO - Required number of columns: 2 
[2025-06-03 15:19:21,061] 38 root - INFO - Available number of columns: 31
[2025-06-03 15:19:21,061] 49 root - INFO - Required number of numerical columns: 31
[2025-06-03 15:19:21,066] 52 root - INFO - Available number of numerical columns: 31
[2025-06-03 15:19:21,066] 49 root - INFO - Required number of numerical columns: 31
[2025-06-03 15:19:21,067] 52 root - INFO - Available number of numerical columns: 31
